[01:00:03.840635238] (+0.000013905) 0 stack_usage: { pid = 6, func_ptr = 0x800FCD1, usage_bytes = 1520 }
[01:00:03.840649714] (+0.000014476) 0 stack_usage: { pid = 6, func_ptr = 0x800FCD1, usage_bytes = 1520 }
[01:00:03.840664476] (+0.000014762) 0 stack_usage: { pid = 6, func_ptr = 0x8020535, usage_bytes = 1544 }
[01:00:03.840676380] (+0.000011904) 0 stack_usage: { pid = 6, func_ptr = 0x801087D, usage_bytes = 6696 }
[01:00:03.840687619] (+0.000011239) 0 stack_usage: { pid = 6, func_ptr = 0x80102BD, usage_bytes = 6720 }
[01:00:03.840704190] (+0.000016571) 0 stack_usage: { pid = 6, func_ptr = 0x80102BD, usage_bytes = 6720 }
[01:00:03.840931523] (+0.000227333) 0 stack_usage: { pid = 6, func_ptr = 0x8010581, usage_bytes = 1536 }
[01:00:03.841043238] (+0.000111715) 0 stack_usage: { pid = 6, func_ptr = 0x800D1CD, usage_bytes = 1520 }
[01:00:03.841054952] (+0.000011714) 0 stack_usage: { pid = 6, func_ptr = 0x80202BD, usage_bytes = 1576 }
[01:00:03.841066095] (+0.000011143) 0 stack_usage: { pid = 6, func_ptr = 0x800FCD1, usage_bytes = 1592 }
[01:00:03.841081428] (+0.000015333) 0 stack_usage: { pid = 6, func_ptr = 0x802256D, usage_bytes = 1592 }
[01:00:03.841093142] (+0.000011714) 0 stack_usage: { pid = 6, func_ptr = 0x80225D5, usage_bytes = 1608 }
[01:00:03.841104380] (+0.000011238) 0 stack_usage: { pid = 6, func_ptr = 0x800FBB5, usage_bytes = 1632 }
[01:00:03.841116000] (+0.000011620) 0 stack_usage: { pid = 6, func_ptr = 0x800FCD1, usage_bytes = 1624 }
[01:00:03.841131904] (+0.000015904) 0 stack_usage: { pid = 6, func_ptr = 0x802013D, usage_bytes = 1608 }
[01:00:03.841142952] (+0.000011048) 0 stack_usage: { pid = 6, func_ptr = 0x8022901, usage_bytes = 1640 }
[01:00:03.841154190] (+0.000011238) 0 stack_usage: { pid = 6, func_ptr = 0x802284D, usage_bytes = 1672 }
[01:00:03.841165619] (+0.000011429) 0 stack_usage: { pid = 6, func_ptr = 0x80225A1, usage_bytes = 1688 }
[01:00:03.841177142] (+0.000011523) 0 stack_usage: { pid = 6, func_ptr = 0x802B019, usage_bytes = 1720 }
[01:00:03.841192952] (+0.000015810) 0 stack_usage: { pid = 6, func_ptr = 0x802B019, usage_bytes = 1688 }
[01:00:03.841205333] (+0.000012381) 0 stack_usage: { pid = 6, func_ptr = 0x802284D, usage_bytes = 1640 }
[01:00:03.841217047] (+0.000011714) 0 stack_usage: { pid = 6, func_ptr = 0x801FEB1, usage_bytes = 1632 }
[01:00:03.841228095] (+0.000011048) 0 stack_usage: { pid = 6, func_ptr = 0x801FD59, usage_bytes = 1688 }
[01:00:03.841239333] (+0.000011238) 0 stack_usage: { pid = 6, func_ptr = 0x802284D, usage_bytes = 1720 }
[01:00:03.841251238] (+0.000011905) 0 stack_usage: { pid = 6, func_ptr = 0x80225A1, usage_bytes = 1704 }
[01:00:03.841262761] (+0.000011523) 0 stack_usage: { pid = 6, func_ptr = 0x802284D, usage_bytes = 1720 }
[01:00:03.841274285] (+0.000011524) 0 stack_usage: { pid = 6, func_ptr = 0x801FB8D, usage_bytes = 1712 }
[01:00:03.841285523] (+0.000011238) 0 stack_usage: { pid = 6, func_ptr = 0x802284D, usage_bytes = 1744 }
[01:00:03.841297333] (+0.000011810) 0 stack_usage: { pid = 6, func_ptr = 0x8022755, usage_bytes = 1736 }
[01:00:03.841309714] (+0.000012381) 0 stack_usage: { pid = 6, func_ptr = 0x802284D, usage_bytes = 1720 }
[01:00:03.841321238] (+0.000011524) 0 stack_usage: { pid = 6, func_ptr = 0x80225A1, usage_bytes = 1736 }
[01:00:03.841332761] (+0.000011523) 0 stack_usage: { pid = 6, func_ptr = 0x802B019, usage_bytes = 1768 }
[01:00:03.841345142] (+0.000012381) 0 stack_usage: { pid = 6, func_ptr = 0x8022995, usage_bytes = 2768 }
[01:00:03.841356380] (+0.000011238) 0 stack_usage: { pid = 6, func_ptr = 0x802284D, usage_bytes = 2800 }
[01:00:03.841367904] (+0.000011524) 0 stack_usage: { pid = 6, func_ptr = 0x80225A1, usage_bytes = 2816 }
[01:00:03.841379428] (+0.000011524) 0 stack_usage: { pid = 6, func_ptr = 0x802B019, usage_bytes = 2848 }
[01:00:03.841391904] (+0.000012476) 0 stack_usage: { pid = 6, func_ptr = 0x8013479, usage_bytes = 2816 }
[01:00:03.841403238] (+0.000011334) 0 stack_usage: { pid = 6, func_ptr = 0x801341D, usage_bytes = 2848 }
[01:00:03.841441619] (+0.000038381) 0 stack_usage: { pid = 6, func_ptr = 0x801087D, usage_bytes = 7920 }
[01:00:03.841452761] (+0.000011142) 0 stack_usage: { pid = 6, func_ptr = 0x80102BD, usage_bytes = 7944 }
[01:00:03.841470952] (+0.000018191) 0 stack_usage: { pid = 6, func_ptr = 0x80102BD, usage_bytes = 7944 }
[01:00:03.841604000] (+0.000133048) 0 stack_usage: { pid = 6, func_ptr = 0x800D201, usage_bytes = 1592 }
[01:00:03.841615333] (+0.000011333) 0 stack_usage: { pid = 6, func_ptr = 0x800FCA9, usage_bytes = 1608 }
