[01:00:00.000256190] (+?.?????????) 0 thread_create: { thread_id = 2, name = "hpwork" }
[01:00:00.000390285] (+0.000134095) 0 thread_create: { thread_id = 3, name = "lpwork" }
[01:00:00.003429333] (+0.003039048) 0 thread_create: { thread_id = 5, name = "init" }
[01:00:02.256016476] (+0.000010762) 0 function_usage: { pid = 5, func_ptr = 0x8007475, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:02.256026952] (+0.000010476) 0 function_usage: { pid = 5, func_ptr = 0x8006E55, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:02.256037142] (+0.000010190) 0 function_usage: { pid = 5, func_ptr = 0x8006DD9, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:02.256047523] (+0.000010381) 0 function_usage: { pid = 5, func_ptr = 0x8006DD9, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:02.256057904] (+0.000010381) 0 function_usage: { pid = 5, func_ptr = 0x8006E11, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:02.256068380] (+0.000010476) 0 function_usage: { pid = 5, func_ptr = 0x8006E11, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:02.256078761] (+0.000010381) 0 function_usage: { pid = 5, func_ptr = 0x8006E55, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:02.256089428] (+0.000010667) 0 function_usage: { pid = 5, func_ptr = 0x8006F5D, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:02.256099714] (+0.000010286) 0 function_usage: { pid = 5, func_ptr = 0x8006F5D, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:02.256110476] (+0.000010762) 0 function_usage: { pid = 5, func_ptr = 0x80075D9, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:02.256120857] (+0.000010381) 0 function_usage: { pid = 5, func_ptr = 0x800A2CD, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:02.256131619] (+0.000010762) 0 function_usage: { pid = 5, func_ptr = 0x800B35D, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:02.256142095] (+0.000010476) 0 function_usage: { pid = 5, func_ptr = 0x800B839, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:02.256152666] (+0.000010571) 0 function_usage: { pid = 5, func_ptr = 0x800B839, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:02.256163714] (+0.000011048) 0 function_usage: { pid = 5, func_ptr = 0x800B839, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:02.256174095] (+0.000010381) 0 function_usage: { pid = 5, func_ptr = 0x800B839, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:02.256185238] (+0.000011143) 0 function_usage: { pid = 5, func_ptr = 0x800B839, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:02.256195714] (+0.000010476) 0 function_usage: { pid = 5, func_ptr = 0x800B839, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:02.256207619] (+0.000011905) 0 function_usage: { pid = 5, func_ptr = 0x800B839, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:02.256218095] (+0.000010476) 0 function_usage: { pid = 5, func_ptr = 0x800B839, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:02.256333714] (+0.000115619) 0 thread_create: { thread_id = 6, name = "microros" }
[01:00:02.256349047] (+0.000015333) 0 function_usage: { pid = 5, func_ptr = 0x800B35D, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:02.256387142] (+0.000038095) 0 function_usage: { pid = 6, func_ptr = 0x800CB2D, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:03.259848761] (+1.003461619) 0 measurement_start:
