[01:00:00.000235142] (+?.?????????) 0 thread_create: { thread_id = 2, name = "hpwork" }
[01:00:00.000496857] (+0.000261715) 0 thread_create: { thread_id = 3, name = "lpwork" }
[01:00:00.003691809] (+0.003194952) 0 thread_create: { thread_id = 5, name = "init" }
[01:00:02.563948380] (+0.000013047) 0 function_usage: { pid = 14, func_ptr = 0x8006A85, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:02.564003047] (+0.000054667) 0 function_usage: { pid = 6, func_ptr = 0x800C6C5, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:02.564030190] (+0.000027143) 0 function_usage: { pid = 6, func_ptr = 0x800C6C5, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:02.564277904] (+0.000247714) 0 thread_create: { thread_id = 20, name = "popen" }
[01:00:02.564302190] (+0.000024286) 0 function_usage: { pid = 20, func_ptr = 0x8028B39, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:02.564312000] (+0.000009810) 0 function_usage: { pid = 20, func_ptr = 0x8006775, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:02.564383142] (+0.000071142) 0 function_usage: { pid = 20, func_ptr = 0x8006775, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:02.564393333] (+0.000010191) 0 function_usage: { pid = 20, func_ptr = 0x80079FD, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:02.564418285] (+0.000024952) 0 function_usage: { pid = 20, func_ptr = 0x80077E9, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:02.564431238] (+0.000012953) 0 function_usage: { pid = 20, func_ptr = 0x8006FB5, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:02.564443809] (+0.000012571) 0 function_usage: { pid = 20, func_ptr = 0x8006F7D, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:02.564453523] (+0.000009714) 0 function_usage: { pid = 20, func_ptr = 0x8006F7D, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:02.564463428] (+0.000009905) 0 function_usage: { pid = 20, func_ptr = 0x8006FB5, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:02.564473619] (+0.000010191) 0 function_usage: { pid = 20, func_ptr = 0x8007079, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:02.564484666] (+0.000011047) 0 function_usage: { pid = 20, func_ptr = 0x8007079, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:02.564494952] (+0.000010286) 0 function_usage: { pid = 20, func_ptr = 0x80072DD, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:02.564506000] (+0.000011048) 0 function_usage: { pid = 20, func_ptr = 0x80072DD, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:02.564516000] (+0.000010000) 0 function_usage: { pid = 20, func_ptr = 0x80074CD, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:02.564526285] (+0.000010285) 0 function_usage: { pid = 20, func_ptr = 0x80074CD, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:02.564536476] (+0.000010191) 0 function_usage: { pid = 20, func_ptr = 0x8006EAD, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:02.564546285] (+0.000009809) 0 function_usage: { pid = 20, func_ptr = 0x8006E31, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:02.564556285] (+0.000010000) 0 function_usage: { pid = 20, func_ptr = 0x8006E31, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:02.564566095] (+0.000009810) 0 function_usage: { pid = 20, func_ptr = 0x8006E69, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:02.564575809] (+0.000009714) 0 function_usage: { pid = 20, func_ptr = 0x8006E69, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:02.564585619] (+0.000009810) 0 function_usage: { pid = 20, func_ptr = 0x8006EAD, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:02.564595904] (+0.000010285) 0 function_usage: { pid = 20, func_ptr = 0x8006FB5, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:02.564608000] (+0.000012096) 0 function_usage: { pid = 20, func_ptr = 0x8006F7D, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:02.564617904] (+0.000009904) 0 function_usage: { pid = 20, func_ptr = 0x8006F7D, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:02.583448095] (+0.018830191) 0 function_usage: { pid = 30, func_ptr = 0x8006A3D, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:02.583475238] (+0.000027143) 0 function_usage: { pid = 30, func_ptr = 0x8009FED, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:02.583485238] (+0.000010000) 0 function_usage: { pid = 30, func_ptr = 0x80096D9, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:02.583498190] (+0.000012952) 0 function_usage: { pid = 30, func_ptr = 0x80096D9, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:02.583507904] (+0.000009714) 0 function_usage: { pid = 30, func_ptr = 0x80080ED, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:02.583517809] (+0.000009905) 0 function_usage: { pid = 30, func_ptr = 0x8007AF9, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:02.583531904] (+0.000014095) 0 function_usage: { pid = 30, func_ptr = 0x8006DA9, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:02.583542095] (+0.000010191) 0 function_usage: { pid = 30, func_ptr = 0x8006DA9, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:02.583552000] (+0.000009905) 0 function_usage: { pid = 30, func_ptr = 0x8007631, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:02.583561904] (+0.000009904) 0 function_usage: { pid = 30, func_ptr = 0x80077E9, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:02.583571714] (+0.000009810) 0 function_usage: { pid = 30, func_ptr = 0x80079FD, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:02.583584000] (+0.000012286) 0 function_usage: { pid = 30, func_ptr = 0x8006AB1, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:02.583593809] (+0.000009809) 0 function_usage: { pid = 30, func_ptr = 0x8006A85, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:02.583603714] (+0.000009905) 0 function_usage: { pid = 30, func_ptr = 0x80068AD, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:02.583620380] (+0.000016666) 0 function_usage: { pid = 30, func_ptr = 0x80068AD, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:02.583633428] (+0.000013048) 0 function_usage: { pid = 30, func_ptr = 0x8006A85, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:02.583707428] (+0.000074000) 0 function_usage: { pid = 6, func_ptr = 0x800C6C5, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:03.400797714] (+0.817090286) 0 measurement_start:
[01:00:03.400814000] (+0.000016286) 0 function_usage: { pid = 6, func_ptr = 0x800F5C9, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:03.400824000] (+0.000010000) 0 function_usage: { pid = 6, func_ptr = 0x800F5C9, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:03.400834380] (+0.000010380) 0 function_usage: { pid = 6, func_ptr = 0x80154F1, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:03.400844476] (+0.000010096) 0 function_usage: { pid = 6, func_ptr = 0x80154F1, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:03.400855047] (+0.000010571) 0 function_usage: { pid = 6, func_ptr = 0x800F699, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:03.400865428] (+0.000010381) 0 function_usage: { pid = 6, func_ptr = 0x8015555, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:03.400875238] (+0.000009810) 0 function_usage: { pid = 6, func_ptr = 0x8015555, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:03.400885523] (+0.000010285) 0 function_usage: { pid = 6, func_ptr = 0x8015701, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:03.400902000] (+0.000016477) 0 function_usage: { pid = 6, func_ptr = 0x8015701, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:03.400912476] (+0.000010476) 0 function_usage: { pid = 6, func_ptr = 0x80281C5, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:03.400924285] (+0.000011809) 0 function_usage: { pid = 6, func_ptr = 0x80281C5, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:03.400934952] (+0.000010667) 0 function_usage: { pid = 6, func_ptr = 0x801AB99, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:03.400945047] (+0.000010095) 0 function_usage: { pid = 6, func_ptr = 0x8015555, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:03.400955333] (+0.000010286) 0 function_usage: { pid = 6, func_ptr = 0x8015555, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:03.400966095] (+0.000010762) 0 function_usage: { pid = 6, func_ptr = 0x8015701, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:03.400981809] (+0.000015714) 0 function_usage: { pid = 6, func_ptr = 0x8015701, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:03.401002476] (+0.000020667) 0 function_usage: { pid = 6, func_ptr = 0x801AB99, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:03.401012476] (+0.000010000) 0 function_usage: { pid = 6, func_ptr = 0x800F699, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:03.401022952] (+0.000010476) 0 function_usage: { pid = 6, func_ptr = 0x800F61D, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:03.401033047] (+0.000010095) 0 function_usage: { pid = 6, func_ptr = 0x800F61D, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:03.401043523] (+0.000010476) 0 function_usage: { pid = 6, func_ptr = 0x801CCAD, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:03.401056476] (+0.000012953) 0 function_usage: { pid = 6, func_ptr = 0x801CCAD, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:03.401066761] (+0.000010285) 0 function_usage: { pid = 6, func_ptr = 0x800EBCD, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:03.401076952] (+0.000010191) 0 function_usage: { pid = 6, func_ptr = 0x8029EAD, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:03.401087142] (+0.000010190) 0 function_usage: { pid = 6, func_ptr = 0x8029EAD, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:03.401098285] (+0.000011143) 0 function_usage: { pid = 6, func_ptr = 0x800EBCD, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:03.401108857] (+0.000010572) 0 function_usage: { pid = 6, func_ptr = 0x800F199, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:03.401119523] (+0.000010666) 0 function_usage: { pid = 6, func_ptr = 0x8015555, fe = ( "FUNCTION_ENTER" : container = 0 ) }
