[01:00:00.000209333] (+?.?????????) 0 thread_create: { thread_id = 2, name = "hpwork" }
[01:00:00.000322285] (+0.000112952) 0 thread_create: { thread_id = 3, name = "lpwork" }
[01:00:00.000524857] (+0.000202572) 0 thread_create: { thread_id = 5, name = "init" }
[01:00:09.266736857] (+0.000012667) 0 function_usage: { pid = 5, func_ptr = 0x80083B9, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:09.266760000] (+0.000023143) 0 function_usage: { pid = 5, func_ptr = 0x80083B9, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:09.266772666] (+0.000012666) 0 function_usage: { pid = 5, func_ptr = 0x800840D, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:09.384800190] (+0.118027524) 0 function_usage: { pid = 5, func_ptr = 0x800840D, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:09.384821714] (+0.000021524) 0 function_usage: { pid = 5, func_ptr = 0x8008465, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:09.384834000] (+0.000012286) 0 function_usage: { pid = 5, func_ptr = 0x8008465, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:09.384846666] (+0.000012666) 0 function_usage: { pid = 5, func_ptr = 0x80083B9, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:09.384869714] (+0.000023048) 0 function_usage: { pid = 5, func_ptr = 0x80083B9, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:09.384882476] (+0.000012762) 0 function_usage: { pid = 5, func_ptr = 0x800840D, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:09.427188285] (+0.042305809) 0 function_usage: { pid = 5, func_ptr = 0x800840D, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:09.427209904] (+0.000021619) 0 function_usage: { pid = 5, func_ptr = 0x80083B9, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:09.427233714] (+0.000023810) 0 function_usage: { pid = 5, func_ptr = 0x80083B9, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:09.427250571] (+0.000016857) 0 function_usage: { pid = 5, func_ptr = 0x80084A5, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:09.427262857] (+0.000012286) 0 function_usage: { pid = 5, func_ptr = 0x80082F5, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:09.427275619] (+0.000012762) 0 function_usage: { pid = 5, func_ptr = 0x80093D1, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:09.427292380] (+0.000016761) 0 function_usage: { pid = 5, func_ptr = 0x8009179, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:09.427307238] (+0.000014858) 0 function_usage: { pid = 5, func_ptr = 0x800886D, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:09.427324285] (+0.000017047) 0 function_usage: { pid = 5, func_ptr = 0x8008819, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:09.427336761] (+0.000012476) 0 function_usage: { pid = 5, func_ptr = 0x8008819, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:09.427349238] (+0.000012477) 0 function_usage: { pid = 5, func_ptr = 0x800886D, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:09.427361904] (+0.000012666) 0 function_usage: { pid = 5, func_ptr = 0x8008951, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:09.427375714] (+0.000013810) 0 function_usage: { pid = 5, func_ptr = 0x8008951, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:09.427388476] (+0.000012762) 0 function_usage: { pid = 5, func_ptr = 0x8008BCD, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:09.427402285] (+0.000013809) 0 function_usage: { pid = 5, func_ptr = 0x8008BCD, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:09.427414952] (+0.000012667) 0 function_usage: { pid = 5, func_ptr = 0x8008DDD, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:09.427427904] (+0.000012952) 0 function_usage: { pid = 5, func_ptr = 0x8008DDD, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:09.427440476] (+0.000012572) 0 function_usage: { pid = 5, func_ptr = 0x8008709, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:09.427452761] (+0.000012285) 0 function_usage: { pid = 5, func_ptr = 0x800865D, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:09.427465238] (+0.000012477) 0 function_usage: { pid = 5, func_ptr = 0x800865D, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:09.427477714] (+0.000012476) 0 function_usage: { pid = 5, func_ptr = 0x80086AD, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:09.427490285] (+0.000012571) 0 function_usage: { pid = 5, func_ptr = 0x80086AD, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:09.427502666] (+0.000012381) 0 function_usage: { pid = 5, func_ptr = 0x8008709, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:09.427515523] (+0.000012857) 0 function_usage: { pid = 5, func_ptr = 0x800886D, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:09.427527904] (+0.000012381) 0 function_usage: { pid = 5, func_ptr = 0x800886D, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:09.427540952] (+0.000013048) 0 function_usage: { pid = 5, func_ptr = 0x8008F91, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:09.427553523] (+0.000012571) 0 function_usage: { pid = 5, func_ptr = 0x800C2D1, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:09.427566380] (+0.000012857) 0 function_usage: { pid = 5, func_ptr = 0x800CAD1, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:09.427579047] (+0.000012667) 0 function_usage: { pid = 5, func_ptr = 0x800CD19, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:09.427591619] (+0.000012572) 0 function_usage: { pid = 5, func_ptr = 0x800CD19, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:09.427605428] (+0.000013809) 0 function_usage: { pid = 5, func_ptr = 0x800CD19, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:09.427618095] (+0.000012667) 0 function_usage: { pid = 5, func_ptr = 0x800CD19, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:09.427744952] (+0.000126857) 0 thread_create: { thread_id = 6, name = "microros" }
[01:00:09.427762476] (+0.000017524) 0 function_usage: { pid = 5, func_ptr = 0x800CAD1, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:09.427806380] (+0.000043904) 0 function_usage: { pid = 6, func_ptr = 0x800CDF5, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:09.427817619] (+0.000011239) 0 measurement_start:
[01:00:09.427828571] (+0.000010952) 0 function_usage: { pid = 6, func_ptr = 0x8010499, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:09.427840952] (+0.000012381) 0 function_usage: { pid = 6, func_ptr = 0x8010499, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:09.427853619] (+0.000012667) 0 function_usage: { pid = 6, func_ptr = 0x800CFAD, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:09.427865904] (+0.000012285) 0 function_usage: { pid = 6, func_ptr = 0x800CFAD, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:09.427878571] (+0.000012667) 0 function_usage: { pid = 6, func_ptr = 0x800D1C9, fe = ( "FUNCTION_ENTER" : container = 0 ) }
