[01:00:00.008839333] (+0.000064667) 0 heap_alloc: { pid = 5, fn1 = 0x80075B8, fn2 = 0x803EF4E, fn3 = 0x803E7C2, fn4 = 0x8005984, address = 0x2001DD60, real_alloc = 120, user_alloc = 112, user_req = 96 }
[01:00:01.715850666] (+1.707011333) 0 heap_free: { pid = 6, address = 0x2001C100, real_alloc = 40, user_alloc = 32 }
[01:00:01.716083714] (+0.000233048) 0 heap_free: { pid = 0, address = 0x2001C120, real_alloc = 1592, user_alloc = 1584 }
[01:00:01.716108476] (+0.000024762) 0 heap_free: { pid = 0, address = 0x2001C000, real_alloc = 264, user_alloc = 256 }
[01:00:01.716484000] (+0.000375524) 0 thread_create: { thread_id = 6, name = "netinit" }
[01:00:12.110806952] (+10.394322952) 0 heap_alloc: { pid = 5, fn1 = 0x8008884, fn2 = 0x80087E2, fn3 = 0x80313EC, fn4 = 0x8005984, address = 0x2001C000, real_alloc = 88, user_alloc = 80, user_req = 64 }
[01:00:12.110884000] (+0.000077048) 0 heap_alloc: { pid = 5, fn1 = 0x8008884, fn2 = 0x80087EA, fn3 = 0x80313EC, fn4 = 0x8005984, address = 0x2001C050, real_alloc = 88, user_alloc = 80, user_req = 64 }
[01:00:12.110954857] (+0.000070857) 0 heap_alloc: { pid = 5, fn1 = 0x8008604, fn2 = 0x8008884, fn3 = 0x80313EC, fn4 = 0x8005984, address = 0x2001C0A0, real_alloc = 88, user_alloc = 80, user_req = 64 }
[01:00:14.702927238] (+2.591972381) 0 heap_alloc: { pid = 5, fn1 = 0x8001B86, fn2 = 0x8001ACA, fn3 = 0x8005A02, fn4 = 0x8005984, address = 0x2001C0F0, real_alloc = 264, user_alloc = 256, user_req = 240 }
[01:00:14.703008857] (+0.000081619) 0 heap_alloc: { pid = 5, fn1 = 0x8001AD6, fn2 = 0x8002076, fn3 = 0x8005A02, fn4 = 0x8005984, address = 0x2001C1F0, real_alloc = 728, user_alloc = 720, user_req = 712 }
[01:00:14.703137142] (+0.000128285) 0 heap_alloc: { pid = 5, fn1 = 0x8001AE0, fn2 = 0x8002BEA, fn3 = 0x80313EC, fn4 = 0x8005984, address = 0x2001C4C0, real_alloc = 88, user_alloc = 80, user_req = 64 }
