[01:00:00.000086761] (+?.?????????) 0 thread_create: { thread_id = 2, name = "hpwork" }
[01:00:05.582226476] (+0.000012286) 0 stack_usage: { pid = 5, func_ptr = 0x800B191, usage_bytes = 488 }
[01:00:05.582238380] (+0.000011904) 0 stack_usage: { pid = 5, func_ptr = 0x800B3A1, usage_bytes = 528 }
[01:00:05.582251904] (+0.000013524) 0 stack_usage: { pid = 5, func_ptr = 0x800B3A1, usage_bytes = 504 }
[01:00:05.582378952] (+0.000127048) 0 thread_create: { thread_id = 7, name = "publisher" }
[01:00:05.585038761] (+0.002659809) 0 stack_usage: { pid = 7, func_ptr = 0x800BD41, usage_bytes = 264 }
[01:00:05.585058000] (+0.000019239) 0 stack_usage: { pid = 7, func_ptr = 0x80062D1, usage_bytes = 304 }
[01:00:05.596045619] (+0.010987619) 0 stack_usage: { pid = 7, func_ptr = 0x800633D, usage_bytes = 312 }
[01:00:05.596078571] (+0.000032952) 0 stack_usage: { pid = 7, func_ptr = 0x8006265, usage_bytes = 304 }
[01:00:11.291310666] (+5.695232095) 0 stack_usage: { pid = 7, func_ptr = 0x800BE9D, usage_bytes = 336 }
[01:00:11.291444666] (+0.000134000) 0 thread_create: { thread_id = 8, name = "popen" }
[01:00:11.291861523] (+0.000416857) 0 stack_usage: { pid = 8, func_ptr = 0x80212C9, usage_bytes = 48 }
[01:00:11.291881238] (+0.000019715) 0 stack_usage: { pid = 8, func_ptr = 0x80064F1, usage_bytes = 64 }
[01:00:11.291926476] (+0.000045238) 0 stack_usage: { pid = 8, func_ptr = 0x8007779, usage_bytes = 80 }
[01:00:11.291946857] (+0.000020381) 0 stack_usage: { pid = 8, func_ptr = 0x8007565, usage_bytes = 224 }
[01:00:11.291961619] (+0.000014762) 0 stack_usage: { pid = 8, func_ptr = 0x8006D31, usage_bytes = 272 }
[01:00:11.291975904] (+0.000014285) 0 stack_usage: { pid = 8, func_ptr = 0x8006CF9, usage_bytes = 296 }
[01:00:11.291988571] (+0.000012667) 0 stack_usage: { pid = 8, func_ptr = 0x8006DF5, usage_bytes = 264 }
[01:00:11.292002095] (+0.000013524) 0 stack_usage: { pid = 8, func_ptr = 0x8007059, usage_bytes = 256 }
[01:00:11.292015619] (+0.000013524) 0 stack_usage: { pid = 8, func_ptr = 0x8007249, usage_bytes = 272 }
[01:00:11.292028190] (+0.000012571) 0 stack_usage: { pid = 8, func_ptr = 0x8006C29, usage_bytes = 240 }
[01:00:11.292040000] (+0.000011810) 0 stack_usage: { pid = 8, func_ptr = 0x8006BAD, usage_bytes = 256 }
[01:00:11.292052285] (+0.000012285) 0 stack_usage: { pid = 8, func_ptr = 0x8006BE5, usage_bytes = 256 }
[01:00:11.292064857] (+0.000012572) 0 stack_usage: { pid = 8, func_ptr = 0x8006D31, usage_bytes = 272 }
[01:00:11.292078857] (+0.000014000) 0 stack_usage: { pid = 8, func_ptr = 0x8006CF9, usage_bytes = 296 }
[01:00:11.292091523] (+0.000012666) 0 stack_usage: { pid = 8, func_ptr = 0x8006D31, usage_bytes = 272 }
[01:00:11.292108285] (+0.000016762) 0 stack_usage: { pid = 8, func_ptr = 0x8006CF9, usage_bytes = 296 }
[01:00:11.292121047] (+0.000012762) 0 stack_usage: { pid = 8, func_ptr = 0x8006D31, usage_bytes = 272 }
[01:00:11.292134666] (+0.000013619) 0 stack_usage: { pid = 8, func_ptr = 0x80073AD, usage_bytes = 288 }
[01:00:11.292146571] (+0.000011905) 0 stack_usage: { pid = 8, func_ptr = 0x800A0A1, usage_bytes = 336 }
[01:00:11.292158761] (+0.000012190) 0 stack_usage: { pid = 8, func_ptr = 0x800B191, usage_bytes = 408 }
[01:00:11.292170857] (+0.000012096) 0 stack_usage: { pid = 8, func_ptr = 0x800B3A1, usage_bytes = 448 }
[01:00:11.292183619] (+0.000012762) 0 stack_usage: { pid = 8, func_ptr = 0x800B3A1, usage_bytes = 448 }
[01:00:11.292196666] (+0.000013047) 0 stack_usage: { pid = 8, func_ptr = 0x800B3A1, usage_bytes = 424 }
[01:00:11.292325142] (+0.000128476) 0 thread_create: { thread_id = 9, name = "ping" }
