[01:00:00.000209142] (+?.?????????) 0 thread_create: { thread_id = 2, name = "hpwork" }
[01:00:07.875154285] (+0.000025714) 0 stack_usage: { pid = 6, func_ptr = 0x8019AA9, usage_bytes = 1072 }
[01:00:07.875179523] (+0.000025238) 0 stack_usage: { pid = 6, func_ptr = 0x8019AA9, usage_bytes = 1072 }
[01:00:07.875204761] (+0.000025238) 0 stack_usage: { pid = 6, func_ptr = 0x8019AA9, usage_bytes = 1072 }
[01:00:07.875230000] (+0.000025239) 0 stack_usage: { pid = 6, func_ptr = 0x8019AA9, usage_bytes = 1072 }
[01:00:07.875255238] (+0.000025238) 0 stack_usage: { pid = 6, func_ptr = 0x8019AA9, usage_bytes = 1072 }
[01:00:07.875280476] (+0.000025238) 0 stack_usage: { pid = 6, func_ptr = 0x8019AA9, usage_bytes = 1072 }
[01:00:07.875305714] (+0.000025238) 0 stack_usage: { pid = 6, func_ptr = 0x8019AA9, usage_bytes = 1072 }
[01:00:07.875330952] (+0.000025238) 0 stack_usage: { pid = 6, func_ptr = 0x8019AA9, usage_bytes = 1072 }
[01:00:07.875387714] (+0.000056762) 0 stack_usage: { pid = 6, func_ptr = 0x8019BD1, usage_bytes = 1072 }
[01:00:07.875412761] (+0.000025047) 0 stack_usage: { pid = 6, func_ptr = 0x8019BD1, usage_bytes = 1072 }
[01:00:07.875437904] (+0.000025143) 0 stack_usage: { pid = 6, func_ptr = 0x8019BD1, usage_bytes = 1072 }
[01:00:07.875483333] (+0.000045429) 0 stack_usage: { pid = 6, func_ptr = 0x80325B9, usage_bytes = 1000 }
[01:00:07.875515238] (+0.000031905) 0 stack_usage: { pid = 6, func_ptr = 0x8031DC1, usage_bytes = 976 }
[01:00:07.897951809] (+0.022436571) 0 stack_usage: { pid = 6, func_ptr = 0x801B0E5, usage_bytes = 1248 }
[01:00:07.897991809] (+0.000040000) 0 stack_usage: { pid = 6, func_ptr = 0x8019B01, usage_bytes = 1152 }
[01:00:07.898017238] (+0.000025429) 0 stack_usage: { pid = 6, func_ptr = 0x8019B01, usage_bytes = 1152 }
[01:00:07.898042666] (+0.000025428) 0 stack_usage: { pid = 6, func_ptr = 0x8019B01, usage_bytes = 1152 }
[01:00:07.898071333] (+0.000028667) 0 stack_usage: { pid = 6, func_ptr = 0x80185E1, usage_bytes = 1016 }
[01:00:07.898098285] (+0.000026952) 0 stack_usage: { pid = 6, func_ptr = 0x80156C9, usage_bytes = 1168 }
[01:00:07.898127238] (+0.000028953) 0 stack_usage: { pid = 6, func_ptr = 0x801592D, usage_bytes = 1272 }
[01:00:07.898154666] (+0.000027428) 0 stack_usage: { pid = 6, func_ptr = 0x80156C9, usage_bytes = 1368 }
[01:00:07.898184476] (+0.000029810) 0 stack_usage: { pid = 6, func_ptr = 0x8015B0D, usage_bytes = 1296 }
[01:00:07.898212190] (+0.000027714) 0 stack_usage: { pid = 6, func_ptr = 0x80156C9, usage_bytes = 1376 }
[01:00:07.898239428] (+0.000027238) 0 stack_usage: { pid = 6, func_ptr = 0x801C9CD, usage_bytes = 1288 }
[01:00:07.898267619] (+0.000028191) 0 stack_usage: { pid = 6, func_ptr = 0x8016795, usage_bytes = 1304 }
