[01:00:22.986270666] (+0.000013905) 0 function_usage: { pid = 5, func_ptr = 0x8009E75, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:22.986283333] (+0.000012667) 0 function_usage: { pid = 5, func_ptr = 0x800A085, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:22.986296285] (+0.000012952) 0 function_usage: { pid = 5, func_ptr = 0x800A085, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:22.986308761] (+0.000012476) 0 function_usage: { pid = 5, func_ptr = 0x80099B1, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:22.986321142] (+0.000012381) 0 function_usage: { pid = 5, func_ptr = 0x8009905, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:22.986333619] (+0.000012477) 0 function_usage: { pid = 5, func_ptr = 0x8009905, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:22.986346000] (+0.000012381) 0 function_usage: { pid = 5, func_ptr = 0x8009955, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:22.986358476] (+0.000012476) 0 function_usage: { pid = 5, func_ptr = 0x8009955, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:22.986370857] (+0.000012381) 0 function_usage: { pid = 5, func_ptr = 0x80099B1, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:22.986383619] (+0.000012762) 0 function_usage: { pid = 5, func_ptr = 0x8009B15, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:22.986396000] (+0.000012381) 0 function_usage: { pid = 5, func_ptr = 0x8009B15, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:22.986409047] (+0.000013047) 0 function_usage: { pid = 5, func_ptr = 0x800A239, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:22.986421523] (+0.000012476) 0 function_usage: { pid = 5, func_ptr = 0x800D58D, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:22.986434476] (+0.000012953) 0 function_usage: { pid = 5, func_ptr = 0x800E8AD, fe = ( "FUNCTION_ENTER" : container = 0 ) }
